Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
38	3.75	1.0897248	5.0	2.0	33.5	25.71478	59.0	0.0	1.5	2.0124612	6.0	0.0	98.2	269.2838	905.0	0.0	1000.0	1000.0	151999	0.6698254	5.849065	27.315664	-50.61583	0.6548917	5.8854256	27.159657	-51.149994	-0.21941063	1.3777777	9.874499	-9.189946	-0.5496635	0.8942456	3553.861982822418
39	3.25	2.58602	7.0	0.0	91.75	131.13423	316.0	0.0	1.5	1.5	4.0	0.0	8.4	11.056219	32.0	0.0	1000.0	1000.0	155999	0.47934487	5.7368608	27.72448	-53.06353	0.4653379	5.7747374	27.226126	-50.295605	-0.23568508	1.3718177	8.379391	-10.678226	-0.36237317	0.87164134	3648.342119216919
40	3.5	1.5	6.0	2.0	74.25	46.148537	121.0	20.0	1.7	2.7221315	9.0	0.0	2.6	5.370289	16.0	0.0	1000.0	1000.0	159999	0.17253691	5.7164607	26.952705	-48.911324	0.159903	5.7493725	24.761412	-46.56595	-0.2529619	1.3618795	9.206968	-9.278627	-0.049338043	0.86221945	3743.012122631073
41	1.75	1.47902	4.0	0.0	0.0	0.0	0.0	0.0	1.7	1.5524175	4.0	0.0	15.7	28.1249	85.0	0.0	1000.0	1000.0	163999	-0.2291129	5.7490077	23.382893	-48.707626	-0.24466397	5.7889075	22.877777	-48.675945	-0.25354093	1.3689239	7.997194	-10.164942	0.36011454	0.9053528	3838.0284492969513
42	3.75	2.046338	7.0	2.0	57.0	77.85564	189.0	0.0	2.7	2.8301945	9.0	0.0	2.6	5.2763624	15.0	0.0	1000.0	1000.0	167999	-0.56077486	5.7199764	23.186827	-52.53897	-0.57697356	5.7631545	21.23402	-51.26551	-0.24733657	1.3785331	8.614589	-8.840046	0.69011974	0.89666516	3932.706700325012
43	4.0	3.2403703	9.0	0.0	9.25	9.575359	22.0	0.0	2.1	2.8792357	8.0	0.0	9.9	25.101591	84.0	0.0	1000.0	984.0	171999	-0.8991218	5.7573857	23.376781	-52.70564	-0.9161323	5.802466	20.900106	-50.71263	-0.24327658	1.3850265	9.479363	-9.554723	1.0319968	0.9063374	4027.6429924964905
44	1.5	1.5	4.0	0.0	79.0	94.36896	231.0	0.0	3.2	3.091925	10.0	0.0	7.5	12.847178	38.0	0.0	1000.0	926.6	175999	-1.110717	5.740901	21.797264	-57.118515	-1.1275133	5.787042	21.611546	-53.315807	-0.2374	1.3863152	8.956659	-10.620495	1.2380768	0.8886078	4121.004050254822
45	3.5	1.118034	5.0	2.0	12.75	14.095655	34.0	0.0	1.7	2.0518284	7.0	0.0	16.2	48.6	162.0	0.0	1000.0	1000.0	179999	-1.331111	5.702234	20.365396	-52.393566	-1.3476368	5.750603	19.358408	-52.560677	-0.25821054	1.3869901	10.74031	-9.892599	1.4587721	0.89397645	4214.80624127388
46	4.0	2.1213202	6.0	1.0	0.75	1.299038	3.0	0.0	0.8	0.8717798	2.0	0.0	2.2	4.6	14.0	0.0	1000.0	1000.0	183999	-1.5415546	5.6668644	23.148327	-53.06137	-1.5569264	5.7136316	22.171764	-50.510666	-0.2441415	1.3866626	10.358974	-9.611681	1.6685742	0.888905	4309.152983188629
47	7.0	4.0620193	12.0	1.0	8.5	14.722432	34.0	0.0	0.4	0.91651505	3.0	0.0	103.5	284.7842	957.0	0.0	1000.0	1000.0	187999	-1.7009536	5.625408	21.686785	-50.525673	-1.7155926	5.6719146	21.108006	-51.430855	-0.2183619	1.3927015	10.485681	-11.326288	1.8310044	0.923681	4404.218054294586
48	3.25	1.7853571	6.0	1.0	14.0	16.748135	41.0	0.0	2.7	2.0024984	6.0	0.0	23.7	44.76617	152.0	0.0	1000.0	1000.0	191999	-1.857439	5.575547	20.181023	-55.89704	-1.8720282	5.6256104	19.39947	-54.242588	-0.21675754	1.3982396	10.46486	-9.481241	1.9888955	0.9421774	4499.055940628052
49	3.5	1.5	5.0	2.0	62.5	78.5	197.0	0.0	2.4	1.8547237	6.0	0.0	6.3	10.69626	33.0	0.0	1000.0	1000.0	195999	-1.9690009	5.5595107	18.782383	-62.94298	-1.983493	5.610885	18.900414	-57.22435	-0.2525576	1.3761445	9.056394	-10.57304	2.0979843	0.9284979	4593.956104278564
50	4.0	4.0620193	9.0	0.0	38.25	66.250946	153.0	0.0	1.4	1.6852299	5.0	0.0	6.9	18.785366	63.0	0.0	1000.0	1000.0	199999	-2.1243243	5.549697	20.03868	-59.097866	-2.136184	5.59178	19.497118	-58.79647	-0.25146532	1.3768942	10.341559	-10.167435	2.2553902	0.9147803	4688.326279163361
51	3.5	2.291288	7.0	1.0	7.5	4.7169905	12.0	0.0	1.4	1.4966629	4.0	0.0	4.0	8.049845	22.0	0.0	1000.0	1000.0	203999	-2.269016	5.5671587	20.496986	-52.365288	-2.282062	5.6142893	20.912151	-51.115376	-0.26108932	1.3691278	8.949819	-9.433783	2.401273	0.9279678	4782.353361129761
52	5.0	1.2247449	7.0	4.0	15.75	18.417044	45.0	0.0	2.9	2.3430748	7.0	0.0	6.1	9.944345	29.0	0.0	1000.0	1000.0	207999	-2.3821926	5.58816	21.040392	-49.330574	-2.3955731	5.636108	21.974754	-49.763588	-0.26231253	1.3730146	11.737972	-10.12344	2.5143075	0.9178434	4877.3218126297
53	2.75	2.9474566	7.0	0.0	0.0	0.0	0.0	0.0	1.6	2.57682	9.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	211999	-2.4605293	5.5703387	22.107338	-50.87291	-2.471354	5.608895	22.00452	-48.635178	-0.2749705	1.3650781	9.289218	-11.06319	2.5859952	0.8564042	4972.298449754715
54	4.75	0.8291562	6.0	4.0	12.0	13.583077	33.0	0.0	1.5	2.4596748	8.0	0.0	4.6	13.8	46.0	0.0	1000.0	1000.0	215999	-2.468239	5.5181785	21.998013	-52.28498	-2.4766831	5.546526	22.07286	-49.894028	-0.26937863	1.3710198	9.063493	-10.496002	2.5910525	0.828403	5067.363489866257
55	5.25	2.9474566	8.0	1.0	99.5	113.45594	291.0	0.0	2.4	2.2	6.0	0.0	29.9	86.09582	288.0	0.0	1000.0	1000.0	219999	-2.4588313	5.474062	20.784138	-56.60531	-2.4642282	5.4899573	21.154003	-54.193787	-0.27587485	1.3676282	9.064016	-11.533032	2.5807827	0.79696083	5162.401170730591
56	5.5	2.95804	9.0	1.0	2.25	3.8971143	9.0	0.0	3.6	3.3823068	12.0	0.0	3.7	7.430343	20.0	0.0	1000.0	1000.0	223999	-2.5342188	5.4346685	19.178425	-51.54081	-2.5386221	5.4467063	19.275078	-51.02398	-0.29056835	1.3590157	8.805273	-8.768634	2.6580243	0.795135	5256.193192243576
57	3.5	1.6583124	5.0	1.0	89.75	54.14044	176.0	30.0	1.5	2.0615528	6.0	0.0	8.7	26.100002	87.0	0.0	1000.0	1000.0	227999	-2.70726	5.467851	18.78638	-53.74417	-2.7125132	5.4828277	18.97118	-52.153236	-0.2977623	1.3542459	9.366993	-10.883029	2.835865	0.8078114	5350.396961212158
58	6.0	3.3166249	9.0	1.0	18.25	18.335417	39.0	0.0	0.7	1.1874342	3.0	0.0	5.4	16.2	54.0	0.0	1000.0	1000.0	231999	-2.8626087	5.4689226	19.373316	-61.74182	-2.8681211	5.484258	18.687305	-58.42151	-0.27444655	1.3646072	8.164852	-9.742905	2.9931345	0.8324613	5445.561977624893
