Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
50	13.5	0.8660254	14.0	12.0	14.5	6.8007355	23.0	4.0	11.9	1.8138357	14.0	8.0	84.4	107.57621	400.0	24.0	1000.0	1000.0	199999	15.574417	3.3598952	30.646059	-5.2784452	15.574179	3.3618414	30.209433	-5.8821783	-15.663663	0.2381351	2637.7345519065857
51	12.5	1.5	14.0	10.0	66.25	9.984363	73.0	49.0	12.2	1.1661904	14.0	10.0	74.4	33.577374	133.0	17.0	1000.0	1000.0	203999	15.674957	3.3361275	29.453144	-3.14786	15.674747	3.3378534	30.67681	-2.10163	-15.749104	0.22062868	2690.2464079856873
52	12.75	1.0897248	14.0	11.0	30.5	11.521719	44.0	14.0	13.6	1.3564659	16.0	11.0	51.4	36.93291	107.0	0.0	1000.0	1000.0	207999	15.76452	3.324363	29.397652	-2.729299	15.764363	3.325898	30.267714	-2.8542168	-15.847823	0.22235931	2742.6832797527313
53	11.75	1.6393596	13.0	9.0	71.0	45.62346	136.0	15.0	13.3	1.1874342	15.0	11.0	35.7	26.061659	94.0	7.0	1000.0	1000.0	211999	15.854126	3.3347104	29.608736	-1.8725955	15.853961	3.3363316	30.70299	-2.0747335	-15.930234	0.221316	2794.895126104355
54	13.25	0.4330127	14.0	13.0	26.5	19.70406	49.0	1.0	13.0	0.6324555	14.0	12.0	40.7	33.58884	89.0	0.0	1000.0	1000.0	215999	15.941668	3.3338382	29.619913	-3.0455194	15.94155	3.3350494	30.32177	-3.1116076	-16.021053	0.21549827	2847.179937362671
55	13.0	1.2247449	15.0	12.0	65.25	56.570198	153.0	2.0	12.6	1.4282857	14.0	10.0	50.1	39.5688	124.0	0.0	1000.0	1000.0	219999	16.024817	3.3501503	29.385424	-1.6097844	16.02472	3.351251	31.809305	-1.8228283	-16.102463	0.21408702	2899.2091250419617
56	13.5	0.8660254	15.0	13.0	32.25	29.73529	78.0	0.0	12.8	1.4	16.0	11.0	54.1	26.834494	102.0	0.0	1000.0	1000.0	223999	16.10871	3.3528836	30.898468	-2.29077	16.108612	3.3542187	31.263992	-2.2724876	-16.183163	0.20984079	2952.4906256198883
57	12.5	1.118034	14.0	11.0	55.5	39.83403	120.0	14.0	12.4	1.1999999	14.0	10.0	38.7	26.683516	74.0	0.0	1000.0	1000.0	227999	16.187876	3.3468347	29.739542	-1.8442323	16.187738	3.3482246	30.870914	-2.0715914	-16.25273	0.21738781	3005.8337190151215
58	12.25	0.8291562	13.0	11.0	60.25	44.075928	123.0	0.0	12.6	0.9165152	14.0	11.0	43.3	36.58702	106.0	0.0	1000.0	1000.0	231999	16.276329	3.3581467	30.610237	-1.4303467	16.27621	3.3595786	30.96932	-1.6804135	-16.35305	0.21559113	3058.6255264282227
59	13.5	0.5	14.0	13.0	36.5	16.948452	57.0	14.0	13.4	1.56205	17.0	11.0	44.9	40.37685	124.0	0.0	1000.0	1000.0	235999	16.354563	3.3714445	30.14313	-1.0447929	16.354364	3.3730218	30.214298	-1.2343512	-16.429697	0.21815461	3111.026401281357
60	12.25	1.0897248	14.0	11.0	59.75	32.797676	97.0	13.0	12.6	1.2806249	15.0	11.0	64.3	27.9	116.0	15.0	1000.0	1000.0	239999	16.40788	3.3612602	31.080753	-0.8804245	16.407818	3.3622541	30.701416	-1.5967057	-16.478266	0.21342255	3162.7126426696777
61	12.25	0.4330127	13.0	12.0	50.0	37.027016	109.0	13.0	12.4	0.48989794	13.0	12.0	34.8	26.928795	86.0	0.0	1000.0	1000.0	243999	16.454412	3.3762968	30.933266	-0.9715507	16.45432	3.3774865	32.521137	-0.35391092	-16.527407	0.21594416	3215.664550304413
62	14.0	1.0	15.0	13.0	30.75	18.81987	62.0	15.0	12.5	1.6278821	15.0	10.0	45.4	33.169865	105.0	0.0	1000.0	1000.0	247999	16.508867	3.3488252	31.09737	-1.6484702	16.508747	3.3496656	31.066114	-0.8149183	-16.571754	0.20612943	3269.608682870865
63	13.75	1.47902	16.0	12.0	42.0	12.86468	63.0	31.0	12.1	0.70000005	13.0	11.0	49.0	34.4093	126.0	0.0	1000.0	1000.0	251999	16.572393	3.356039	31.248955	-0.99265194	16.572237	3.3570354	32.117493	-0.87629795	-16.642874	0.21155031	3322.8492398262024
