Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	207999	2387.1985	665.75665	8601.179	-452.69446	2387.2026	665.72034	8679.936	-457.73926	55.79386	16.06623	217.82495	4.1834927	-2412.8955	2998.222	5324.3143475055695
53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	211999	2449.775	723.4916	10230.992	-416.7884	2449.7717	723.50055	10431.205	-197.27104	56.112823	15.988184	175.91086	3.581911	-2477.1904	3428.8047	5425.550089120865
54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	215999	2535.9746	820.57086	12485.468	-743.2406	2535.9675	820.53436	12333.312	-331.6879	56.797165	16.15714	218.73404	1.6117172	-2566.1504	4253.1006	5527.7884266376495
55	0.0	0.0	0.0	0.0	28.5	49.36345	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	219999	2652.331	941.65173	15419.282	-148.535	2652.329	941.6435	15376.261	-384.887	57.44681	16.274092	215.11804	5.6152554	-2685.0623	5754.6855	5630.54683637619
56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	223999	2811.8906	1107.9731	17186.709	-146.67279	2811.8967	1107.9302	17266.275	-203.51149	59.048473	16.845938	236.51312	6.5859847	-2849.047	7870.1416	5732.5769302845
57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	227999	3018.1018	1301.9341	20948.43	-218.51419	3018.1245	1301.8069	21336.389	-207.39037	60.7442	17.370405	249.57013	3.554923	-3060.413	10752.701	5834.761506557465
58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	231999	3310.032	1569.5603	23867.445	-143.28613	3310.0327	1569.5568	24454.527	-160.94641	63.94121	18.179157	276.5875	5.8752594	-3360.3303	16446.021	5937.303831577301
59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	235999	3656.3086	1843.2688	26747.453	-76.1613	3656.316	1843.2767	26916.83	-168.75858	65.33036	18.723356	248.33049	6.6654415	-3711.4363	20379.203	6039.329562902451
60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	239999	4045.8164	2129.4404	28126.094	-172.47658	4045.8323	2129.477	28029.762	-229.6042	67.09209	19.26263	240.81691	10.243064	-4105.2925	26411.08	6140.712081670761
61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	243999	4435.2197	2371.2285	29838.45	-195.21896	4435.2407	2371.232	29649.47	-169.30684	68.64582	20.069328	224.96327	6.5640993	-4499.542	30744.537	6242.885685682297
62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	247999	4875.303	2579.397	31979.107	-54.797886	4875.322	2579.4856	31914.598	-20.772587	71.06699	20.309893	248.61319	10.841966	-4946.4307	35000.945	6345.324457406998
63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	251999	5358.948	2830.0073	34317.68	-223.09023	5358.9404	2830.0854	34639.234	500.15057	73.5863	20.943623	239.96329	7.726678	-5436.7046	42972.625	6447.02080655098
64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	255999	5913.053	3141.4297	37832.766	442.08673	5913.0405	3141.4775	37872.906	524.72516	76.6566	22.24758	257.90173	12.168016	-6001.3403	56912.656	6547.96671128273
65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	259999	6529.257	3464.374	39176.152	721.532	6529.259	3464.5347	39335.066	673.51294	79.09075	22.468512	245.30896	14.219276	-6626.05	70693.97	6651.222717761993
66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	263999	7200.7964	3796.383	41108.316	1575.9288	7200.7915	3796.3599	40688.14	1324.5311	81.62615	23.80396	259.9691	16.364843	-7305.357	84244.266	6753.223832368851
67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	267999	7867.374	4092.48	44754.27	551.7963	7867.3823	4092.5398	44590.105	1019.05176	85.55928	25.565502	330.21368	16.878273	-7983.329	95362.71	6855.9605832099915
68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	271999	8625.895	4406.4336	46543.164	1022.66895	8625.892	4406.4204	46637.63	1149.6112	89.08064	27.176804	363.54904	16.959839	-8747.088	110588.555	6957.962892770767
69	0.0	0.0	0.0	0.0	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	275999	9330.198	4626.163	51549.17	886.01526	9330.201	4626.2227	51333.08	1807.4291	91.61018	28.283524	350.84708	6.352037	-9456.743	112938.53	7059.651140451431
70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	279999	9992.998	4825.5996	54936.734	-6.5838313	9992.988	4825.738	55047.227	412.78958	93.96126	29.063023	334.65063	17.508713	-10123.754	121918.56	7161.567835569382
71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	283999	10609.492	5012.0166	59057.297	1310.6434	10609.533	5012.067	58749.395	1938.7686	97.04351	30.205057	353.81378	15.856642	-10748.029	127624.76	7263.043271303177
72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	287999	11321.59	5248.95	61005.105	1819.4559	11321.622	5248.918	60564.98	1805.8495	99.50597	31.182014	354.5095	17.8803	-11469.771	135597.42	7364.630665063858
73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	291999	12017.426	5464.612	65055.234	866.546	12017.438	5464.624	64836.26	1196.3416	102.61863	32.758797	378.13565	18.332787	-12171.51	139405.4	7465.792838335037
74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	295999	12757.702	5773.04	70265.2	909.1638	12757.709	5773.194	70077.34	829.1517	104.60516	32.377506	417.06183	13.916847	-12922.02	158781.77	7567.289853334427
75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	299999	13408.1	6046.8604	73316.375	-743.7671	13408.152	6046.8467	73167.8	-618.17535	105.15609	32.641895	427.54422	16.513445	-13574.704	162359.17	7668.6298391819
76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	303999	14080.798	6348.2803	78119.47	1560.5652	14080.762	6348.2617	77911.945	1948.7175	107.45861	33.069775	440.6838	16.383358	-14256.814	175338.08	7769.178107023239
77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	307999	14839.412	6770.188	83142.375	-457.56198	14839.427	6770.294	83532.54	-1134.2457	107.72432	33.01494	400.3725	18.569937	-15024.19	194439.42	7870.780102968216
78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	311999	15577.038	7226.3647	92231.78	2027.7941	15577.08	7226.452	91552.87	1864.7207	109.54634	34.12508	414.54813	16.094185	-15771.864	214195.36	7972.473275184631
79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	315999	16414.807	7715.394	97462.164	697.81323	16414.867	7715.6665	97024.86	2262.1738	111.58732	35.045395	436.8269	22.290745	-16626.2	244244.61	8074.281999826431
