Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
30	14.25	0.4330127	15.0	14.0	23.0	17.930422	41.0	0.0	16.0	1.7320508	20.0	14.0	56.1	40.91809	130.0	0.0	1000.0	1000.0	119999	12.75185	5.266982	36.345154	-8.093124	12.751863	5.266804	37.051746	-8.135868	-12.852117	0.43246922	1725.9100089073181
31	14.0	1.8708287	16.0	11.0	97.75	68.89983	182.0	0.0	15.4	1.68523	18.0	13.0	73.8	24.83868	103.0	19.0	1000.0	1000.0	123999	12.777658	5.2036757	37.013165	-9.004086	12.777654	5.2038374	36.775673	-9.439065	-12.875355	0.4265807	1784.4511580467224
32	15.25	1.299038	16.0	13.0	65.5	33.752777	94.0	8.0	15.0	2.144761	17.0	10.0	63.9	42.14368	131.0	0.0	1000.0	1000.0	127999	12.821998	5.1560297	37.617584	-7.561101	12.82184	5.156063	37.58671	-8.416403	-12.911433	0.436855	1843.337964296341
33	16.75	0.8291562	18.0	16.0	65.0	59.887394	153.0	0.0	15.0	2.607681	21.0	11.0	54.8	37.690315	133.0	0.0	1000.0	1000.0	131999	12.868415	5.1080523	37.45157	-7.362457	12.868345	5.108409	37.03922	-7.849745	-12.954564	0.4345998	1902.6826031208038
34	12.75	0.8291562	14.0	12.0	119.5	39.550602	166.0	75.0	14.1	1.7578397	16.0	11.0	69.6	39.64644	124.0	3.0	1000.0	1000.0	135999	12.896176	5.1012273	37.823357	-7.798112	12.895919	5.1014457	36.64633	-7.7080774	-12.975068	0.4344026	1961.438632965088
35	14.75	1.0897248	16.0	13.0	41.0	17.507141	63.0	14.0	12.9	4.526588	17.0	0.0	46.5	27.774988	86.0	0.0	1000.0	1000.0	139999	12.927645	5.097882	36.902935	-7.8608007	12.927703	5.098052	35.733307	-8.215641	-13.00925	0.43464762	2019.8983840942383
36	15.75	1.47902	18.0	14.0	72.5	34.354767	107.0	23.0	13.5	2.291288	16.0	9.0	78.7	48.869316	149.0	0.0	1000.0	1000.0	143999	12.937265	5.0985494	38.339523	-7.930572	12.937436	5.098425	35.19383	-8.868996	-13.01785	0.43254712	2078.10560297966
37	15.0	0.70710677	16.0	14.0	83.75	27.779264	127.0	57.0	15.2	2.2271059	19.0	11.0	73.0	33.00303	135.0	33.0	1000.0	1000.0	147999	12.9651785	5.126777	35.50457	-8.529378	12.96521	5.126588	34.847954	-9.102246	-13.035587	0.44191286	2136.25181722641
38	14.75	0.4330127	15.0	14.0	35.5	11.146749	53.0	22.0	15.3	1.9	19.0	13.0	83.2	51.062317	173.0	10.0	1000.0	1000.0	151999	12.990924	5.1433415	35.090473	-8.259219	12.990912	5.1434298	34.435886	-8.076911	-13.061371	0.44413054	2194.061918735504
39	15.25	3.344772	19.0	10.0	60.25	76.42766	187.0	0.0	13.9	2.624881	19.0	11.0	92.1	62.521114	227.0	16.0	1000.0	1000.0	155999	12.989403	5.157888	35.212532	-9.227985	12.989505	5.157748	34.661865	-9.167334	-13.060325	0.44256455	2253.433277130127
40	14.75	1.47902	17.0	13.0	72.0	48.805737	140.0	8.0	14.8	1.8330302	17.0	11.0	53.6	25.322716	86.0	0.0	1000.0	1000.0	159999	12.975938	5.1658163	37.008224	-9.921984	12.97601	5.165573	38.603954	-10.31697	-13.057953	0.44731537	2311.5939633846283
41	14.25	1.6393596	17.0	13.0	64.25	33.326977	103.0	20.0	14.6	2.5377154	18.0	9.0	78.8	70.87425	248.0	0.0	1000.0	1000.0	163999	12.992172	5.16265	37.436546	-10.433184	12.992279	5.1624856	35.238483	-11.185831	-13.076656	0.44821465	2370.521607398987
42	14.0	1.2247449	16.0	13.0	91.25	15.171931	116.0	75.0	15.4	1.9078784	18.0	12.0	35.4	27.972128	83.0	0.0	1000.0	1000.0	167999	13.021922	5.1341977	36.355873	-9.582749	13.021912	5.1341825	35.79241	-10.108786	-13.087361	0.4491095	2428.127177000046
43	14.5	1.5	16.0	12.0	61.5	29.778347	104.0	20.0	14.4	1.0198039	16.0	12.0	64.2	40.295906	112.0	0.0	1000.0	1000.0	171999	13.006912	5.1392026	36.84383	-8.946449	13.00664	5.1395288	37.636776	-9.020949	-13.075074	0.44961846	2486.3400518894196
44	14.25	2.1650636	18.0	13.0	68.5	54.371407	156.0	16.0	15.0	1.3416407	18.0	14.0	45.7	26.412308	87.0	9.0	1000.0	1000.0	175999	12.9523535	5.1554585	37.062893	-8.4418545	12.952436	5.1554747	37.722336	-8.814507	-13.015775	0.46101144	2544.4032447338104
