Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
34	6.5	2.8722813	11.0	4.0	288.5	192.1126	566.0	24.0	6.6	4.0298886	14.0	1.0	206.3	153.92339	465.0	21.0	1000.0	1000.0	135999	20.288912	5.0112677	48.42401	-1.2823497	-20.36314	0.3313004	1665.6065967082977
35	9.25	3.344772	13.0	4.0	125.25	171.5931	421.0	9.0	8.1	3.753665	13.0	0.0	134.8	130.4437	444.0	6.0	1000.0	1000.0	139999	20.237865	5.09488	47.002754	0.53851223	-20.313131	0.32799733	1715.3270263671875
36	9.0	2.5495098	12.0	5.0	78.75	98.40573	248.0	10.0	8.8	4.578209	15.0	0.0	91.9	125.3742	340.0	13.0	1000.0	1000.0	143999	20.37151	5.063299	42.496353	-0.43071163	-20.454855	0.32453722	1765.029499053955
37	6.5	4.2720017	12.0	0.0	201.25	141.48387	410.0	14.0	7.7	2.4103942	10.0	4.0	109.9	98.74558	328.0	29.0	1000.0	1000.0	147999	20.410042	5.0813856	42.934067	-2.4164662	-20.481926	0.3311945	1813.9455156326294
38	8.5	5.5	15.0	0.0	133.0	127.90817	337.0	17.0	7.1	3.3301651	13.0	3.0	141.7	162.58723	547.0	13.0	1000.0	1000.0	151999	20.368357	5.2930984	40.818058	-0.12362349	-20.443514	0.33627337	1864.0696709156036
39	12.0	1.5811388	14.0	10.0	44.75	43.739998	115.0	2.0	4.7	3.0347981	11.0	0.0	287.2	184.7397	660.0	48.0	1000.0	1000.0	155999	20.420572	5.364761	40.53471	-4.2208576	-20.487356	0.34054798	1913.731198310852
40	8.25	2.58602	11.0	4.0	93.25	45.018745	164.0	41.0	7.8	3.9191835	13.0	1.0	201.0	240.8485	868.0	22.0	1000.0	1000.0	159999	20.221094	5.536217	40.687355	-2.5087109	-20.280258	0.34587902	1963.4155921936035
41	7.25	1.299038	9.0	6.0	165.75	108.66548	345.0	76.0	9.3	4.1000004	14.0	0.0	95.4	137.12564	382.0	10.0	1000.0	1000.0	163999	20.16487	5.5867257	40.109287	-3.0631626	-20.233376	0.35971618	2011.5749623775482
42	7.75	3.344772	10.0	2.0	111.5	134.97685	345.0	23.0	7.8	4.308132	14.0	1.0	70.0	90.68407	314.0	0.0	1000.0	916.6	167999	20.203297	5.4753165	40.216007	-4.3393946	-20.277027	0.35333297	2060.1605484485626
43	6.0	3.2403703	10.0	1.0	282.5	281.1712	761.0	64.0	8.0	3.0983868	11.0	0.0	116.1	144.36513	490.0	7.0	1000.0	1000.0	171999	20.282671	5.355389	39.65137	-3.732821	-20.348253	0.36014318	2109.1649272441864
44	8.5	1.5	10.0	7.0	85.25	41.475143	153.0	43.0	8.1	4.3	13.0	0.0	167.5	218.61348	644.0	1.0	1000.0	1000.0	175999	20.26606	5.3542585	45.575466	-3.6214345	-20.33634	0.36616462	2158.8592472076416
45	9.75	1.7853571	12.0	8.0	56.75	12.275484	68.0	36.0	9.4	2.9732137	13.0	4.0	56.5	51.562096	165.0	3.0	1000.0	1000.0	179999	20.424456	5.3733397	47.53532	-5.50603	-20.497744	0.36179036	2208.453495502472
46	6.75	3.49106	10.0	1.0	195.5	255.21805	637.0	30.0	4.8	3.8935843	12.0	0.0	240.6	170.62836	488.0	27.0	1000.0	1000.0	183999	20.473303	5.430447	43.173878	-8.123524	-20.53597	0.36662847	2258.1667602062225
47	10.5	0.5	11.0	10.0	18.0	17.04406	47.0	4.0	6.9	2.7367864	11.0	2.0	142.0	148.30779	528.0	30.0	1000.0	1000.0	187999	20.342943	5.5293818	40.2743	-4.9346137	-20.397987	0.37214828	2307.8091008663177
48	7.75	0.4330127	8.0	7.0	57.5	11.25833	70.0	40.0	10.7	1.9	13.0	7.0	31.6	15.88836	61.0	9.0	1000.0	1000.0	191999	20.171915	5.5617623	38.621277	-2.2097554	-20.2247	0.38213092	2357.2753365039825
