Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
43	13.25	0.4330127	14.0	13.0	87.75	37.06329	139.0	35.0	14.4	1.8000001	18.0	12.0	79.1	26.534695	111.0	19.0	1000.0	1000.0	171999	15.920168	6.87881	235.89609	-3.0076761	15.92022	6.878716	232.8188	-2.5299857	0.35789898	1.3811818	14.193359	-10.4406595	-15.788187	0.64771616	4071.901173353195
44	16.25	2.6809514	19.0	12.0	64.75	38.758064	109.0	20.0	15.7	2.0518284	20.0	13.0	41.6	53.651096	169.0	0.0	1000.0	1000.0	175999	15.846491	6.4708953	229.48381	-0.6576055	15.846518	6.4707866	234.28271	-1.7755754	0.36829016	1.3693696	18.052582	-11.196428	-15.717552	0.55170125	4167.652116537094
45	14.75	1.299038	16.0	13.0	36.5	13.973188	58.0	19.0	15.1	2.9137604	22.0	11.0	65.1	44.773766	133.0	0.0	1000.0	1000.0	179999	15.806028	6.290348	209.86287	-2.856729	15.806099	6.292689	217.25583	-1.3082433	0.34805128	1.3666362	13.105952	-10.385332	-15.675449	0.5529729	4264.306674957275
46	15.5	1.118034	17.0	14.0	52.5	40.807476	119.0	14.0	14.3	1.3453624	17.0	12.0	90.7	52.320263	180.0	0.0	1000.0	1000.0	183999	15.886103	6.7156925	234.17667	-1.8486518	15.885996	6.7173147	238.91454	-1.1951414	0.34984133	1.3548157	12.86889	-11.179292	-15.754666	0.54016954	4359.9614408016205
47	15.0	3.2403703	19.0	10.0	35.25	31.37973	83.0	0.0	14.7	1.951922	19.0	11.0	72.8	32.737747	119.0	0.0	1000.0	1000.0	187999	15.892943	6.397035	231.17169	-0.9663925	15.892953	6.3955812	251.61555	-1.6556473	0.34166938	1.3432329	14.727534	-12.858351	-15.761207	0.5303361	4455.043159008026
48	14.0	1.5811388	16.0	12.0	60.5	59.960403	150.0	1.0	15.3	2.3259406	20.0	11.0	49.8	31.03804	113.0	5.0	1000.0	1000.0	191999	15.906579	6.214929	236.15486	-2.6205282	15.906479	6.2150126	232.57027	-1.3042653	0.32763132	1.3391254	13.596996	-12.088677	-15.774392	0.48898423	4549.928400993347
49	15.0	2.236068	18.0	12.0	21.75	25.38085	62.0	0.0	15.7	2.758623	20.0	12.0	72.0	50.338852	155.0	0.0	1000.0	1000.0	195999	15.933551	5.879685	198.82202	-1.0451772	15.933618	5.8780537	199.68442	-1.2237291	0.32487425	1.3277819	13.296314	-11.954443	-15.802011	0.4508119	4645.302873373032
50	14.75	1.299038	16.0	13.0	59.0	24.556059	84.0	24.0	15.2	2.2271059	19.0	13.0	78.4	55.688778	174.0	0.0	1000.0	1000.0	199999	15.98454	5.6436787	196.65067	-1.1297383	15.984665	5.643703	193.54457	-0.6374233	0.34794903	1.330266	14.581974	-14.577644	-15.854785	0.43316796	4740.317826509476
51	15.75	1.47902	18.0	14.0	42.5	30.12059	86.0	12.0	15.3	3.5791059	22.0	10.0	88.4	59.900253	191.0	0.0	1000.0	1000.0	203999	16.033627	5.3669167	181.84488	-1.4139743	16.033722	5.367201	189.0988	-1.07444	0.32945153	1.3118111	12.868335	-11.83511	-15.903488	0.39916602	4835.215903043747
52	17.0	1.2247449	18.0	15.0	36.5	36.376503	97.0	0.0	15.4	1.68523	19.0	13.0	58.5	50.339348	177.0	0.0	1000.0	1000.0	207999	16.110458	5.2159405	155.74364	-1.8916636	16.110373	5.216724	159.03712	-0.38605428	0.31963542	1.3100606	15.283779	-10.093251	-15.979586	0.37766004	4929.684923887253
53	15.75	2.772634	18.0	11.0	51.75	51.760868	105.0	0.0	15.6	2.4979992	21.0	12.0	56.0	28.22056	86.0	0.0	1000.0	1000.0	211999	16.142405	4.8196435	148.60103	-2.3504887	16.14246	4.8188663	143.61897	-1.1034195	0.30740252	1.3023566	12.937296	-11.868185	-16.01072	0.34588042	5024.632107496262
54	16.0	1.5811388	18.0	14.0	78.0	95.822754	238.0	0.0	15.0	2.607681	18.0	9.0	52.1	53.07438	179.0	0.0	1000.0	1000.0	215999	16.222692	4.5079885	130.78555	-2.1230013	16.222729	4.5084596	128.01988	-2.3371773	0.30765274	1.2992852	13.812504	-10.981141	-16.092485	0.35434297	5120.1873614788055
55	15.75	2.772634	19.0	13.0	64.75	33.774067	121.0	32.0	15.7	2.3685439	19.0	11.0	46.3	38.144592	134.0	0.0	1000.0	1000.0	219999	16.309694	4.3647113	113.950806	-1.616955	16.309658	4.3649044	120.31392	-1.0488937	0.29854053	1.291951	11.048663	-10.0739975	-16.180265	0.32024255	5214.924271583557
56	16.0	0.0	16.0	16.0	59.25	49.756283	109.0	0.0	16.5	2.6172504	21.0	14.0	56.4	51.527077	144.0	0.0	1000.0	1000.0	223999	16.381845	4.2208233	95.66662	-3.5375884	16.381805	4.2212105	97.59076	-1.459281	0.28541583	1.2823367	16.26471	-10.138983	-16.251385	0.31145927	5310.641064882278
57	15.5	1.8027756	18.0	13.0	68.5	44.578583	145.0	35.0	16.2	2.039608	19.0	12.0	52.7	38.833103	128.0	12.0	1000.0	1000.0	227999	16.464441	4.1143537	92.28674	-1.5792403	16.464458	4.1145205	94.39469	-3.2774627	0.29047024	1.2821068	13.104791	-10.085266	-16.332624	0.30899802	5405.965969800949
58	16.25	1.9202864	19.0	14.0	36.25	36.38939	77.0	0.0	15.7	1.4866068	18.0	13.0	67.1	45.813644	137.0	0.0	1000.0	1000.0	231999	16.512892	3.9955227	65.938065	-1.7759621	16.512953	3.9958436	67.22432	-0.75970006	0.27944413	1.2740841	19.401491	-10.249107	-16.37982	0.30080658	5500.442887544632
59	14.0	1.4142135	16.0	12.0	85.5	66.017044	165.0	0.0	15.7	2.0518284	20.0	13.0	59.3	49.4167	147.0	0.0	1000.0	1000.0	235999	16.535646	3.9150653	57.59487	-1.3132272	16.535633	3.9155197	56.037323	-2.5133414	0.26418433	1.2712668	16.23848	-11.531801	-16.401636	0.2904804	5595.941362380981
60	14.75	1.6393596	16.0	12.0	97.0	39.843445	165.0	64.0	15.7	2.0024984	19.0	12.0	67.1	34.872482	163.0	33.0	1000.0	1000.0	239999	16.580572	3.8708732	45.4601	-3.0969455	16.580626	3.8711557	43.424557	-2.6312926	0.2782504	1.2670594	7.540628	-10.563727	-16.447702	0.2851861	5691.632095336914
61	15.25	1.299038	16.0	13.0	56.25	49.438725	132.0	0.0	15.2	2.7495453	21.0	12.0	81.7	47.010742	181.0	0.0	1000.0	1000.0	243999	16.645115	3.840728	34.077946	-3.7162013	16.645123	3.8411698	33.929005	-2.3262336	0.2624258	1.2606263	9.451506	-10.328053	-16.513914	0.27599418	5786.982467651367
