Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
47	6.25	2.6809514	9.0	2.0	63.75	42.06171	105.0	0.0	3.1	3.176476	11.0	0.0	28.1	40.409035	125.0	0.0	1000.0	1000.0	187999	4.767581	4.767611	-4.6532683	0.6268736	1.5403788	0.05000001	4318.0034301280975
48	7.25	5.0682836	14.0	0.0	11.0	19.052559	44.0	0.0	2.8	2.4819348	8.0	0.0	11.2	19.223942	60.0	0.0	1000.0	1000.0	191999	4.625879	4.62557	-4.5044823	0.63311476	1.5183557	0.05000001	4420.510828733444
49	6.75	4.380354	13.0	1.0	38.5	36.800137	97.0	0.0	2.9	2.4269323	7.0	0.0	4.6	13.8	46.0	0.0	1000.0	1000.0	195999	4.4790025	4.478973	-4.3604345	0.6312822	1.5239552	0.05000001	4522.720720291138
50	6.75	3.49106	10.0	1.0	27.75	17.383541	46.0	0.0	3.4	1.8	6.0	0.0	13.1	20.437466	50.0	0.0	1000.0	1000.0	199999	4.356137	4.356163	-4.2348595	0.6530403	1.5347759	0.05000001	4624.554749727249
51	6.75	1.47902	9.0	5.0	66.5	70.726585	185.0	9.0	2.5	2.7294688	9.0	0.0	60.1	149.98163	506.0	0.0	1000.0	1000.0	203999	4.248928	4.248713	-4.1208377	0.6625859	1.5143348	0.05000001	4725.883156299591
52	6.5	3.8405728	11.0	1.0	24.0	8.154754	32.0	12.0	2.2	3.0265496	11.0	0.0	15.1	21.755228	66.0	0.0	1000.0	1000.0	207999	3.9803982	3.9800644	-3.843346	0.67335904	1.4857258	0.05000001	4827.808172702789
53	8.5	1.5	10.0	6.0	13.0	22.51666	52.0	0.0	2.2	2.3579652	6.0	0.0	8.6	15.447978	49.0	0.0	1000.0	1000.0	211999	3.6833684	3.6833692	-3.5438237	0.6575014	1.4519236	0.05000001	4929.833835840225
54	5.5	4.031129	10.0	1.0	39.75	17.767597	55.0	11.0	3.0	2.236068	7.0	0.0	25.8	29.586483	94.0	0.0	1000.0	1000.0	215999	3.42177	3.4218278	-3.2810423	0.6662842	1.450625	0.05000001	5032.5903606414795
55	4.25	1.0897248	6.0	3.0	35.25	21.64919	54.0	0.0	3.6	3.9038439	12.0	0.0	11.5	15.86348	45.0	0.0	1000.0	1000.0	219999	3.2135653	3.2136014	-3.074113	0.6819968	1.4685653	0.05000001	5135.653733253479
56	6.5	3.2015622	11.0	2.0	58.75	32.460552	114.0	34.0	3.7	3.9761791	13.0	0.0	28.3	52.82433	136.0	0.0	1000.0	1000.0	223999	3.0669665	3.0669355	-2.9267392	0.6778594	1.4743828	0.05000001	5237.3751673698425
57	8.5	3.640055	13.0	3.0	47.0	80.255844	186.0	0.0	5.9	3.3896902	12.0	2.0	25.5	28.359303	74.0	0.0	1000.0	1000.0	227999	2.91959	2.9195235	-2.7790146	0.67377484	1.4709234	0.05000001	5339.548763513565
58	5.25	1.47902	7.0	3.0	35.0	25.169426	71.0	0.0	3.2	2.675818	9.0	0.0	82.6	231.4408	776.0	0.0	1000.0	1000.0	231999	2.7927105	2.7925003	-2.646772	0.6803206	1.4574261	0.05000001	5441.748103141785
59	4.75	1.9202864	7.0	2.0	66.25	104.068184	246.0	0.0	2.6	3.7202148	11.0	0.0	15.2	24.778217	73.0	0.0	1000.0	1000.0	235999	2.575179	2.5752494	-2.426354	0.69015956	1.4532114	0.05000001	5544.194706201553
60	1.5	1.118034	3.0	0.0	111.0	186.52882	434.0	0.0	4.2	3.3406587	8.0	0.0	26.0	55.2612	187.0	0.0	1000.0	1000.0	239999	2.4073098	2.4072292	-2.2609224	0.69907105	1.4687994	0.05000001	5646.632023096085
61	7.5	1.118034	9.0	6.0	22.75	22.752747	46.0	0.0	4.3	3.226453	11.0	0.0	45.6	121.0869	408.0	0.0	1000.0	1000.0	243999	2.2674506	2.2673151	-2.1197276	0.7088566	1.4719341	0.05000001	5748.3868770599365
62	5.25	0.8291562	6.0	4.0	27.0	8.306623	38.0	18.0	2.3	2.5709918	8.0	0.0	15.7	36.93792	122.0	0.0	1000.0	1000.0	247999	2.121783	2.1216607	-1.9729192	0.70996386	1.4734541	0.05000001	5850.058515787125
63	6.5	2.95804	11.0	3.0	44.75	30.334593	95.0	15.0	5.7	4.583667	12.0	0.0	104.5	286.2601	962.0	0.0	1000.0	1000.0	251999	1.9692916	1.9694014	-1.8149195	0.69957376	1.4616466	0.05000001	5951.966038942337
64	6.25	2.6809514	9.0	2.0	34.5	5.8523498	41.0	25.0	4.9	2.624881	9.0	1.0	34.0	50.708973	180.0	0.0	1000.0	1000.0	255999	1.8257954	1.8255507	-1.6717048	0.7164949	1.4722313	0.05000001	6053.530283212662
65	9.0	1.8708287	11.0	6.0	20.75	13.083864	42.0	9.0	5.3	3.6619668	11.0	1.0	10.3	19.328995	62.0	0.0	1000.0	1000.0	259999	1.7768766	1.7766076	-1.6270137	0.7018658	1.4820095	0.05000001	6157.038336277008
66	5.25	1.0897248	7.0	4.0	26.25	17.921705	49.0	0.0	2.8	4.0447497	14.0	0.0	2.2	4.4899893	13.0	0.0	1000.0	1000.0	263999	1.7297502	1.7295939	-1.5783195	0.70201796	1.4697456	0.05000001	6257.852043628693
67	7.75	4.49305	11.0	0.0	14.25	24.681725	57.0	0.0	3.2	3.2496154	11.0	0.0	6.8	13.563186	45.0	0.0	1000.0	1000.0	267999	1.6818076	1.681884	-1.5310501	0.69555545	1.470191	0.05000001	6359.251099824905
68	4.0	2.4494898	6.0	0.0	9.25	16.02147	37.0	0.0	3.1	3.04795	9.0	0.0	14.5	26.135225	80.0	0.0	1000.0	1000.0	271999	1.6867567	1.6868075	-1.536744	0.6853809	1.4676243	0.05000001	6461.060662984848
69	4.0	1.4142135	6.0	2.0	30.0	2.4494898	32.0	26.0	2.2	3.0594118	9.0	0.0	2.2	5.15364	17.0	0.0	1000.0	1000.0	275999	1.748135	1.748205	-1.6024384	0.67372996	1.491473	0.05000001	6561.425679206848
70	2.5	1.5	4.0	1.0	13.25	8.042854	21.0	0.0	5.0	3.4928498	12.0	0.0	11.9	21.304693	72.0	0.0	1000.0	1000.0	279999	1.8587883	1.8590591	-1.7115577	0.65280104	1.4951643	0.05000001	6662.110569477081
71	3.25	2.8613808	7.0	0.0	24.25	25.163218	58.0	0.0	3.6	3.3226495	11.0	0.0	66.0	169.20993	572.0	0.0	1000.0	1000.0	283999	1.8310874	1.8313061	-1.6777067	0.6620924	1.4708105	0.05000001	6763.258957624435
