Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
44	0.25	0.4330127	1.0	0.0	14.75	25.547749	59.0	0.0	0.5	0.8062258	2.0	0.0	11.6	13.313151	39.0	0.0	1000.0	1000.0	175999	55.935684	17.360395	304.827	-9.55961	-56.526173	3.4291627	2249.508702278137
45	0.5	0.5	1.0	0.0	18.75	32.475952	75.0	0.0	1.2	1.3266499	5.0	0.0	69.4	111.93767	331.0	0.0	1000.0	1000.0	179999	56.168884	18.46333	333.23947	-6.7311144	-56.78444	3.7502096	2301.0428614616394
46	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.5491934	5.0	0.0	50.3	144.35654	483.0	0.0	995.0	862.0	183999	57.49749	19.292448	331.0184	-7.323634	-58.20867	4.31355	2351.465552330017
47	0.16666667	0.372678	1.0	0.0	9.666667	9.961036	24.0	0.0	0.8	1.536229	5.0	0.0	13.2	32.291798	109.0	0.0	727.5	771.2	187999	59.067524	19.789621	291.68835	-9.579144	-59.70734	4.323717	2400.334940671921
48	0.75	0.8291562	2.0	0.0	100.0	173.20508	400.0	0.0	0.6	0.8	2.0	0.0	2.0	4.09878	12.0	0.0	812.25	922.9	191999	59.207603	20.430315	250.83733	-18.08044	-59.865078	4.4367237	2451.5945057868958
49	0.25	0.4330127	1.0	0.0	116.0	177.4993	422.0	0.0	0.4	0.48989797	1.0	0.0	73.0	198.27103	666.0	0.0	1000.0	945.4	195999	60.3667	20.919044	218.5197	-19.707588	-61.066307	4.505329	2502.9614849090576
50	1.2	0.9797959	2.0	0.0	142.4	284.79996	712.0	0.0	0.1	0.29999998	1.0	0.0	4.7	10.315522	33.0	0.0	884.6	920.2	199999	61.209034	20.910023	201.14497	-16.216003	-61.902428	4.559995	2554.669153690338
51	1.0	1.2247449	3.0	0.0	8.25	14.289419	33.0	0.0	0.5	0.8062258	2.0	0.0	2.0	5.366563	18.0	0.0	1000.0	1000.0	203999	62.082417	20.893225	213.95967	-18.278393	-62.772655	4.672367	2607.3953256607056
52	0.5	0.5	1.0	0.0	13.5	14.378804	34.0	0.0	0.9	0.7	2.0	0.0	66.0	101.822395	280.0	0.0	1000.0	963.1	207999	62.331615	20.543589	217.50682	-9.624054	-62.996605	4.57832	2658.835043668747
53	0.0	0.0	0.0	0.0	90.2	161.70268	413.0	0.0	0.5	0.67082036	2.0	0.0	122.1	252.60342	777.0	0.0	798.4	1000.0	211999	62.99965	21.17672	219.55728	-12.245853	-63.773884	5.212828	2710.752948999405
54	1.2	1.1661904	3.0	0.0	12.8	16.904438	42.0	0.0	0.6	1.1999999	4.0	0.0	6.9	10.202451	26.0	0.0	855.8	774.0	215999	66.08424	23.776663	225.2925	-27.956259	-66.96314	5.8018436	2759.9368584156036
55	0.5	0.8660254	2.0	0.0	27.0	46.765373	108.0	0.0	0.3	0.45825756	1.0	0.0	59.6	168.2523	564.0	0.0	1000.0	1000.0	219999	68.75851	24.8284	225.35867	-51.851086	-69.58663	6.3907056	2812.33766412735
56	0.25	0.4330127	1.0	0.0	192.5	219.44646	534.0	0.0	0.7	0.64031243	2.0	0.0	170.8	298.06268	877.0	0.0	874.75	971.9	223999	69.23266	24.085905	259.79318	-56.94342	-69.9628	6.667829	2864.443161010742
57	1.0	0.6324555	2.0	0.0	158.2	146.68933	348.0	0.0	0.3	0.64031243	2.0	0.0	19.3	38.90514	128.0	0.0	842.2	1000.0	227999	69.10221	23.752462	251.14322	-50.082554	-69.83376	6.588545	2916.9039669036865
58	0.5	0.5	1.0	0.0	105.0	181.86534	420.0	0.0	1.0	1.0954452	4.0	0.0	12.6	16.680529	45.0	0.0	1000.0	915.0	231999	68.99443	21.688951	216.97017	-26.456207	-69.78228	6.2007227	2966.4783449172974
59	0.5	0.5	1.0	0.0	223.0	221.28601	501.0	0.0	0.9	0.83066237	2.0	0.0	63.8	127.70184	423.0	0.0	1000.0	917.4	235999	69.85539	20.318907	196.29819	-23.670084	-70.60617	5.8383555	3016.7265706062317
60	0.5	0.5	1.0	0.0	98.25	153.88693	364.0	0.0	1.1	1.7578396	6.0	0.0	166.9	264.8152	846.0	0.0	1000.0	1000.0	239999	68.04149	19.40123	154.35793	-25.71237	-68.63045	5.2070026	3068.071427822113
61	1.25	1.6393596	4.0	0.0	209.75	181.71733	488.0	0.0	0.9	1.0440307	3.0	0.0	8.0	8.5440035	24.0	0.0	1000.0	880.9	243999	64.35503	18.033022	154.98314	-18.040535	-64.87121	4.39316	3118.587883234024
62	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.5	0.67082036	2.0	0.0	85.1	251.64359	840.0	0.0	1000.0	783.0	247999	62.076763	17.957848	163.38472	-19.13819	-62.67737	4.0612087	3167.858573913574
63	1.0	1.069045	3.0	0.0	10.714286	26.244532	75.0	0.0	0.5	0.8062258	2.0	0.0	53.1	151.40637	507.0	0.0	626.5714	675.7	251999	59.58648	18.044313	212.96565	-24.042883	-60.096577	3.915648	3216.9268279075623
