Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
36	0.0	0.0	0.0	0.0	3.0	5.196152	12.0	0.0	0.0	0.0	0.0	0.0	8.3	24.9	83.0	0.0	1000.0	1000.0	143999	133.21622	33.431683	498.59406	-60.547127	-134.1241	2.9801157	2344.2594282627106
37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	147999	123.6031	31.76963	444.5668	-52.256893	-124.40097	2.6319315	2410.6514024734497
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	114.23965	29.188488	427.76526	-40.094204	-114.97095	2.3420916	2477.5508534908295
39	0.0	0.0	0.0	0.0	42.75	74.04517	171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	155999	105.76125	28.808125	449.3144	-47.04193	-106.50614	2.1543608	2543.7684514522552
40	0.0	0.0	0.0	0.0	44.25	76.64325	177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	98.95646	31.976534	507.63214	-46.547703	-99.656975	2.493695	2609.5942595005035
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	163999	92.09369	31.380432	480.1613	-40.983837	-92.7469	1.9605821	2674.3825871944427
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	86.21802	32.937225	477.86523	-49.430374	-86.83308	1.9314892	2738.778851747513
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	80.37063	33.198196	479.93887	-31.208971	-80.93653	1.7617899	2804.183577299118
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	175999	75.34271	33.50911	473.15262	-31.379475	-75.893326	1.7648867	2869.877815723419
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	179999	71.12121	34.422348	421.88834	-27.492598	-71.63606	1.8075109	2935.7678711414337
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	183999	67.35049	34.596333	449.53696	-15.129744	-67.896965	2.0359595	3001.065335035324
47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	187999	65.09094	35.091835	478.04477	-23.870146	-65.6502	2.0742514	3065.940623521805
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	191999	63.117367	33.84139	474.889	-20.148403	-63.67561	1.8603712	3132.3740141391754
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	195999	60.836105	32.38001	431.03293	-30.507063	-61.32675	1.7289056	3198.110051870346
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	14.449914	48.0	0.0	1000.0	1000.0	199999	57.97133	30.900322	408.07886	-26.214403	-58.437046	1.5789415	3263.560295820236
51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	203999	55.653656	28.189314	379.21405	-14.710944	-56.106754	1.3375976	3329.1224331855774
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	207999	54.55708	25.671656	299.66403	-18.126095	-55.212814	1.2495493	3395.3651921749115
53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	211999	58.471935	26.040709	232.88942	-12.297115	-59.349575	1.5328302	3461.16610956192
54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	215999	62.46603	29.716194	263.97516	-17.467098	-63.176186	2.0509315	3525.292398929596
55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	219999	64.01708	32.319855	294.0655	-10.332088	-64.76055	2.2646773	3589.9507455825806
56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	223999	65.66942	32.16939	289.8461	-17.214846	-66.46487	2.3452637	3653.639477968216
