Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
42	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	2127.9255	1474.1768	16594.393	39.460545	2127.892	1474.2386	16356.073	-14.139825	58.94666	19.222183	215.14772	-1.1761208	-2170.9402	17208.309	4159.943155050278
43	0.0	0.0	0.0	0.0	117.75	203.94899	471.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	2554.5884	1746.5519	20006.516	47.739178	2554.5444	1746.6749	19940.854	69.70527	63.78544	20.39078	283.80975	1.7309871	-2605.093	22079.61	4259.095969438553
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	175999	3102.0332	2130.443	24079.549	208.31982	3101.9854	2130.6853	24088.857	160.49318	68.98933	22.564457	302.12952	2.2575836	-3164.3496	31643.611	4357.671444654465
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	179999	3743.727	2535.2852	28162.979	220.82817	3743.6924	2535.406	27742.693	87.91313	75.075226	24.863983	321.59512	8.093829	-3818.3364	42351.375	4456.143058300018
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	183999	4507.985	2982.4082	31814.637	426.21097	4507.9565	2982.485	31830.14	341.06818	81.78757	27.378376	387.37268	9.059282	-4595.856	57493.734	4555.527647972107
47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	187999	5445.0337	3581.542	34823.957	466.43527	5444.982	3581.5173	34995.227	591.9523	88.5283	30.020699	432.14526	13.456239	-5552.272	78128.49	4655.080201148987
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	191999	6545.182	4154.3364	38971.723	896.34796	6545.133	4154.426	39455.547	672.7327	94.19315	32.783596	437.1093	11.648831	-6669.811	100082.39	4754.674693346024
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	195999	7746.6387	4740.486	43829.523	1944.217	7746.651	4740.332	43712.09	1631.438	98.00213	34.93168	477.31857	13.875999	-7885.805	124478.65	4854.454475879669
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	199999	8912.056	5279.491	48102.914	2550.6367	8912.055	5279.4565	48032.363	1743.8945	103.28948	38.378998	492.71054	16.887917	-9065.052	149043.5	4954.52189540863
51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	203999	10150.891	5766.1807	52932.16	1819.0488	10150.819	5766.292	53143.26	1431.1636	109.08764	41.512417	539.0882	16.395533	-10322.2	184198.06	5054.565180778503
